p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.07,single,26,987877923,1000,493,0.04056795131845842,0.04666666666666666,-0.006098715348208245
0.07,single,27,1623292508,1000,475,0.042105263157894736,0.04666666666666666,-0.004561403508771926
0.07,single,28,3732406502,1000,488,0.05737704918032787,0.04666666666666666,0.010710382513661208
0.07,single,29,3116027486,1000,527,0.06261859582542695,0.04666666666666666,0.015951929158760286
0.07,single,30,1861032882,1000,475,0.037894736842105266,0.04666666666666666,-0.008771929824561396
0.07,single,31,1792249092,1000,500,0.038,0.04666666666666666,-0.008666666666666663
0.07,single,32,1805180672,1000,465,0.04086021505376344,0.04666666666666666,-0.005806451612903218
0.07,single,33,227430206,1000,509,0.05108055009823183,0.04666666666666666,0.004413883431565166
0.07,single,34,1596590075,1000,517,0.030947775628626693,0.04666666666666666,-0.01571889103803997
0.07,single,35,3241065673,1000,483,0.031055900621118012,0.04666666666666666,-0.01561076604554865
0.07,single,36,714593050,1000,490,0.04285714285714286,0.04666666666666666,-0.0038095238095238043
0.07,single,37,2387714255,1000,491,0.05702647657841141,0.04666666666666666,0.010359809911744747
0.07,single,38,1838778747,1000,477,0.04612159329140461,0.04666666666666666,-0.0005450733752620507
0.07,single,39,3768233053,1000,495,0.04040404040404041,0.04666666666666666,-0.006262626262626254
0.07,single,40,4019442262,1000,493,0.05273833671399594,0.04666666666666666,0.006071670047329281
0.07,single,41,1573497340,1000,470,0.0425531914893617,0.04666666666666666,-0.004113475177304961
0.07,single,42,406517011,1000,526,0.049429657794676805,0.04666666666666666,0.0027629911280101435
0.07,single,43,2265430105,1000,505,0.03564356435643564,0.04666666666666666,-0.011023102310231021
0.07,single,44,2488454507,1000,507,0.05917159763313609,0.04666666666666666,0.01250493096646943
0.07,single,45,133093984,1000,498,0.03413654618473896,0.04666666666666666,-0.012530120481927705
0.07,single,46,2251304322,1000,505,0.07722772277227723,0.04666666666666666,0.030561056105610565
0.07,single,47,2633923660,1000,501,0.05788423153692615,0.04666666666666666,0.011217564870259489
